Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
1184026333904991;-1.2120;1.4746;7.5969;
1184026344030616;-0.8025;0.9763;1.8811;
1184026354132230;-12.5716;1.4195;-6.9248;
1184026364233793;-8.5232;0.4588;-8.2400;
1184026374339366;-9.4597;0.4373;-6.6108;
1184026384441032;-13.2879;-1.7139;-3.9903;
1184026394542595;-8.8155;-0.5710;-1.2787;
1184026404642387;-5.6055;-0.1304;-2.2558;
1184026414744001;-11.6468;-0.1735;-5.0970;
1184026424845616;-12.2025;0.4086;-4.0406;
1184026434950512;-5.1383;1.2927;-2.1051;
1184026445052126;-6.2569;-0.7795;-2.4715;
1184026455153741;-14.1287;-1.2802;-2.7613;
1184026465264262;-12.0709;0.2865;-2.0498;
1184026475365876;-7.0857;-0.1496;-0.9837;
1184026485467439;0.8647;0.0637;-1.5398;
1184026495552803;-16.1097;0.5333;-6.4768;
1184026505654418;-9.4789;-0.3652;-4.6729;
1184026515756032;-3.5883;-0.0392;-5.4969;
1184026525849314;-11.6782;-1.1964;-4.6059;
1184026535950876;-16.6199;0.5644;-6.0000;
1184026546052491;-11.0839;1.4291;-0.2390;
1184026556150043;-4.5347;0.0829;0.9852;
1184026566251657;-5.1263;1.1369;-0.7564;
1184026576353220;-6.7911;0.0422;-6.3643;
1184026586478689;-9.0311;1.1489;-6.7355;
1184026596580303;-17.6596;-0.5351;-5.1114;
1184026606681866;-7.5171;0.7128;0.5659;
1184026616764939;-2.6088;-1.3256;-1.9349;
1184026626866293;-5.4473;-0.0921;-10.8844;
1184026636967595;-16.2607;0.4660;-12.2501;
1184026647118584;-16.0020;0.2913;-6.1128;
1184026657219939;-4.6184;1.9968;2.9806;
1184026667321241;-1.3391;-1.6394;3.7878;
1184026677381084;-9.6491;-1.3567;-2.8932;
1184026687482387;-20.6683;0.3081;-6.8312;
1184026697583741;-11.3593;1.0149;-3.6885;
1184026707658220;-8.1494;1.3741;2.1135;
1184026717777491;-2.2445;-1.5772;-0.0808;
1184026727878845;-2.5295;0.0709;-6.4959;
1184026737980199;-10.1210;-0.8632;-11.0713;
1184026748074105;-19.5616;-0.5327;-9.0736;
1184026758175459;-8.5711;1.0053;-0.1406;
1184026768276762;-1.8613;0.9165;0.1875;
1184026778399262;-9.1555;1.3693;-2.2606;
1184026788500616;-14.1718;1.1895;-3.9350;
1184026798601918;-6.6787;1.9609;-1.6953;
1184026808678689;-6.3912;2.8857;-2.5122;
1184026818780043;-6.0126;2.6533;-8.0698;
1184026828881397;-18.1866;2.9456;-9.2746;
1184026839002543;-10.8371;3.7241;2.1494;
1184026849103845;-0.0861;3.6978;1.8332;
1184026859205199;-14.6797;0.8782;-6.0168;
1184026869315876;-15.5157;3.1059;1.8045;
1184026879417178;0.8838;2.8857;-2.1051;
1184026889518532;-8.5902;3.5300;-9.3586;
1184026899607439;-16.2751;2.3683;-3.7651;
1184026909708741;-6.3529;-0.1974;1.8547;
1184026919810095;-6.9326;0.5261;1.7231;
1184026929912334;-10.9475;1.0819;-4.9220;
1184026940013637;-11.2851;0.3751;-3.8800;
1184026950114991;-8.8346;0.4014;2.1374;
1184026960216657;-8.1182;-1.3232;-2.9100;
1184026970317959;-4.0531;-1.6250;-3.4609;
1184026980419262;-12.0446;0.7104;-8.8292;
1184026990521293;-9.8049;-1.2299;-1.9397;
1184027000622595;-9.9293;-2.7413;3.1651;
1184027010723949;-10.7725;-4.1716;3.0383;
1184027020821866;-3.8040;-2.5283;-3.2022;
1184027030923168;-11.4769;0.1570;-11.6055;
1184027041024522;-9.3353;-2.2289;-4.5365;
1184027051135459;-12.4062;-2.2504;-5.4491;
1184027061236762;-14.1814;-0.3051;-2.3085;
1184027071338116;-3.5070;-1.4719;2.9566;
1184027081460824;-5.5840;-1.2467;-5.7461;
1184027091562178;-13.2254;-0.9425;-10.2712;
1184027101663480;-11.3139;-2.9976;-4.7928;
1184027111755251;-1.9786;-2.9019;0.0748;
1184027121856553;-10.5544;-1.6851;-10.2090;
1184027131957907;-15.6906;-0.2931;-8.7694;
1184027142051189;-10.1976;-1.5748;3.5916;
1184027152152491;-3.3129;-3.3547;3.1077;
1184027162253845;-8.2454;-0.2500;-5.0827;
1184027172345459;-12.4807;-0.3963;-10.9038;
1184027182446762;-11.2971;-2.7173;-0.7540;
1184027192548116;-0.2898;-1.8000;-1.0893;
1184027202646189;-9.8432;1.4243;-12.0464;
1184027212747491;-19.0418;-0.4753;-3.4202;
1184027222848845;-6.2713;-4.2960;5.5965;
1184027232953272;-1.6385;-0.5758;-1.7121;
1184027243054574;-9.9628;0.9691;-9.6413;
1184027253155928;-10.1521;-0.2500;-8.4027;
1184027263302282;-20.8840;-1.8215;-0.6389;
1184027273403637;-12.8614;-0.1687;7.4172;
1184027283504991;-0.9508;1.1656;4.6792;
1184027293570355;-2.3788;1.1417;-8.2134;
1184027303671657;-9.4334;1.0866;-13.3014;
1184027313773012;-16.4545;1.3071;-8.8508;
1184027323877855;-11.1870;0.0015;0.8222;
1184027333979157;-6.4463;0.3416;3.1077;
1184027344080512;-3.3559;1.4913;-2.4715;
1184027354175251;-8.5998;-0.1543;-3.4681;
1184027364276553;-15.2378;-0.8560;-6.1774;
1184027374377907;-11.1703;1.3502;-3.8800;
1184027384490772;-2.4745;-0.1017;-0.4519;
1184027394592074;-8.4583;0.3846;-4.3137;
1184027404693428;-11.0216;-0.0945;-5.6336;
1184027414839366;-4.4844;0.2339;-1.2568;
1184027424940668;-13.8772;1.7261;-5.7269;
1184027435042022;-10.8538;1.9178;0.3167;
1184027445089314;-1.7776;1.2350;-1.4151;
1184027455190616;-11.7284;0.4735;-6.3643;
1184027465291918;-10.2072;3.1780;-4.4405;
1184027475393168;-12.0637;3.1828;-2.8307;
1184027485494470;-10.6887;1.7596;0.1205;
1184027495595824;-5.2534;3.2234;-3.4011;
1184027505695772;-4.1489;1.8724;-5.7245;
1184027515797074;-11.6587;2.7562;-8.5705;
1184027525898428;-9.9700;1.9418;-4.1459;
1184027535999001;-9.7017;3.1851;-0.3921;
1184027546100303;-16.5218;1.8700;0.3096;
1184027556201605;-9.1962;3.0269;3.6778;
1184027566306137;-4.6184;0.7992;1.3493;
1184027576407491;-5.8929;0.3583;-2.4691;
1184027586508793;-7.5625;1.7764;-6.8842;
1184027596597595;-15.6401;1.2613;-7.0875;
1184027606698897;-11.9441;0.9811;-1.4031;
1184027616800251;-4.1106;2.1670;1.1145;
1184027626910564;-3.0685;-0.8010;-2.2941;
1184027637011918;-11.7691;-0.8779;-4.2347;
1184027647113168;-13.3095;-0.6311;-4.1148;
1184027657207803;-9.9939;0.1642;-3.6284;
