Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
7386809223253;36.2416;20.9539;17.1652;
7386819223253;35.7718;21.3081;17.3133;
7386829223253;35.8593;21.1590;16.7526;
7386839223253;35.7644;21.1542;17.2329;
7386849223253;34.9907;21.0339;19.1587;
7386859223253;35.0791;20.9604;18.1087;
7386869223253;34.5112;21.1579;19.4269;
7386879223253;34.6900;20.8616;18.9793;
7386889223253;35.6510;20.6896;18.1462;
7386899223253;35.3803;21.1330;18.3844;
7386909223253;35.2724;20.8965;18.4073;
7386919223253;35.5808;21.2980;18.0815;
7386929223253;35.2782;21.0496;18.1989;
7386939223253;35.1759;20.8909;18.5989;
7386949223253;34.8119;21.3303;19.6062;
7386959223253;34.5172;21.2360;19.9002;
7386969223253;34.7159;21.3249;19.8941;
7386979223253;35.0997;21.2709;19.3282;
7386989223253;35.1065;21.4245;19.3123;
7386999223253;35.3869;21.2113;18.9539;
7387009223253;35.0036;21.2656;19.6161;
7387019223253;35.2948;21.2831;19.3301;
7387029223253;35.0021;21.2648;19.3273;
7387039223253;34.6172;21.3184;19.7007;
7387049223253;34.8256;21.6375;19.5744;
7387059223253;35.3078;21.5147;19.7875;
7387069223253;35.4125;21.7497;19.1869;
7387079223253;35.1221;21.8078;18.9837;
7387089223253;35.1044;21.4235;18.9272;
7387099223253;35.6079;21.8372;18.6033;
7387109223253;35.8905;21.6250;18.6300;
7387119223253;35.1197;21.7315;19.1841;
7387129223253;35.0329;21.9561;19.2556;
7387139223253;35.6926;21.6115;18.1468;
7387149223253;35.9925;21.8587;17.5481;
7387159223253;36.8675;21.9868;16.2971;
7387169223253;36.8664;21.9863;16.1046;
7387179223253;37.2497;21.9320;15.4425;
7387189223253;36.9606;22.0659;14.8462;
7387199223253;37.9405;22.3540;13.6764;
7387209223253;36.8575;22.5640;12.8315;
7387219223253;36.2516;21.9917;13.5555;
7387229223253;35.1983;22.1601;15.3504;
7387239223253;35.2843;22.0103;14.5009;
7387249223253;35.9802;22.0589;16.8176;
7387259223253;35.1807;21.7758;15.2939;
7387269223253;34.4980;21.4329;17.9183;
7387279223253;34.2999;21.3442;18.0207;
7387289223253;33.7143;21.1575;19.2825;
7387299223253;36.6333;21.1917;18.1201;
7387309223253;36.7206;20.8170;19.4122;
7387319223253;36.6141;20.6563;19.0422;
7387329223253;36.7299;21.0469;19.1958;
7387339223253;36.8190;20.8986;18.9239;
7387349223253;36.9013;20.5967;18.6679;
