Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
258616299813003;0.0112;-0.0897;-0.9035;
258616304900555;0.0186;-0.0855;-0.9290;
258616309948315;0.0368;-0.0738;-0.9514;
258616314996075;0.0602;-0.0684;-0.9791;
258616320043836;0.0676;-0.0663;-1.0078;
258616325091596;0.0506;-0.0269;-1.0291;
258616330139357;0.0080;0.2064;-1.0760;
258616335224930;0.0431;0.1329;-1.0686;
258616340272690;0.2241;-0.3538;-0.8299;
258616345320450;0.3178;-0.3889;-0.6980;
258616350368211;0.2443;0.0956;-0.7204;
258616355415971;0.3189;0.0786;-0.7310;
258616360463732;0.4766;-0.0493;-0.7873;
258616365551388;0.4499;0.2798;-0.9407;
258616370599148;0.4137;0.2405;-1.0015;
258616375646909;0.5298;-0.1909;-0.9993;
258616380694669;0.5501;-0.0237;-1.0174;
258616385742430;0.4105;0.2575;-0.9216;
258616390790190;0.3849;0.1318;-0.8204;
258616395894773;0.3903;-0.0194;-0.8449;
258616400942534;0.3264;0.0945;-0.8566;
258616405990294;0.3338;0.1542;-0.8598;
258616411038055;0.4329;0.0136;-0.9631;
258616416085815;0.5043;0.0296;-1.0206;
258616421133575;0.4233;0.2032;-1.0291;
258616426222586;0.2539;0.1425;-1.0686;
258616431270346;0.1390;-0.0727;-1.0696;
258616436318107;0.1039;-0.1387;-1.0547;
258616441365867;0.1614;0.0541;-1.0313;
258616446413628;0.3402;0.1340;-1.0121;
258616451461388;0.4947;0.1031;-1.0377;
258616456548107;0.4403;0.2117;-1.0568;
258616461595867;0.2411;0.1616;-1.0813;
258616466643628;0.0964;-0.0514;-1.1293;
258616471691388;0.0943;-0.1185;-1.1506;
258616476739148;0.1932;0.0125;-1.1357;
258616481786909;0.3338;0.1585;-1.1271;
258616486851075;0.4212;0.1648;-1.1314;
258616491898836;0.3541;0.1233;-1.1442;
258616496946596;0.2124;0.0647;-1.1655;
258616501994357;0.1614;-0.0120;-1.1825;
258616507042117;0.2422;-0.0173;-1.1996;
258616512089878;0.3679;0.0658;-1.2060;
258616517180450;0.4318;0.1659;-1.2028;
258616522228211;0.3818;0.1648;-1.2113;
258616527275971;0.2742;0.0445;-1.2273;
258616532323732;0.2071;-0.0184;-1.2358;
258616537371492;0.2422;0.0264;-1.2347;
258616542419253;0.3455;0.0945;-1.2390;
258616547511284;0.4265;0.1318;-1.2528;
258616552559044;0.4158;0.1457;-1.2646;
258616557606805;0.3423;0.1148;-1.2837;
258616562654565;0.2752;0.0498;-1.3082;
258616567702325;0.2646;0.0136;-1.3189;
258616572750086;0.3083;0.0370;-1.3232;
258616577842898;0.3562;0.0967;-1.3242;
258616582890659;0.3764;0.1212;-1.3232;
258616587938419;0.3636;0.1020;-1.3327;
258616592986180;0.3370;0.0700;-1.3466;
258616598033940;0.3210;0.0487;-1.3583;
258616603081700;0.3349;0.0434;-1.3732;
258616608179930;0.3700;0.0636;-1.3817;
258616613227690;0.3935;0.1009;-1.3869;
258616618275450;0.3860;0.1148;-1.3891;
258616623323211;0.3604;0.0818;-1.3955;
258616628370971;0.3381;0.0360;-1.4082;
258616633418732;0.3423;0.0306;-1.4125;
258616638502273;0.3839;0.0615;-1.4125;
258616643550034;0.4318;0.1063;-1.4125;
258616648597794;0.4521;0.1233;-1.4157;
258616653645555;0.4435;0.1020;-1.4232;
258616658693367;0.4308;0.0690;-1.4295;
258616663741075;0.4286;0.0466;-1.4327;
258616668816805;0.4435;0.0743;-1.4359;
258616673864565;0.4659;0.0977;-1.4338;
258616678912325;0.4755;0.0924;-1.4285;
258616683960086;0.4595;0.0796;-1.4263;
258616689007846;0.4382;0.0530;-1.4253;
258616694055607;0.4371;0.0306;-1.4221;
258616699129096;0.4606;0.0391;-1.4178;
258616704176857;0.4915;0.0626;-1.4093;
258616709224617;0.5202;0.0786;-1.4040;
258616714272378;0.5469;0.0743;-1.3997;
258616719320138;0.5533;0.0636;-1.3965;
258616724367898;0.5373;0.0605;-1.3891;
258616729492117;0.5245;0.0498;-1.3817;
258616734539878;0.5224;0.0349;-1.3722;
258616739587638;0.5202;0.0423;-1.3615;
258616744635398;0.5266;0.0583;-1.3477;
258616749683159;0.5373;0.0551;-1.3370;
258616754730919;0.5479;0.0455;-1.3242;
258616759802586;0.5554;0.0402;-1.3125;
258616764850346;0.5650;0.0285;-1.2976;
258616769898107;0.5980;0.0093;-1.2837;
258616774945867;0.6449;0.0083;-1.2635;
258616779993628;0.7013;0.0178;-1.2443;
258616785041388;0.7588;0.0221;-1.2241;
258616790148784;0.8056;0.0253;-1.1975;
258616795196544;0.8493;0.0178;-1.1772;
258616800244305;0.8833;0.0061;-1.1580;
258616805292065;0.9164;0.0040;-1.1346;
258616810339825;0.9377;0.0104;-1.1122;
258616815387586;0.9355;0.0061;-1.0909;
258616820440242;0.9366;-0.0141;-1.0750;
258616825488003;0.9515;-0.0333;-1.0568;
258616830535763;0.9952;-0.0194;-1.0334;
258616835583523;1.0570;0.0040;-1.0089;
258616840631284;1.1038;0.0061;-0.9833;
258616845679096;1.1049;-0.0067;-0.9578;
258616850767534;1.0719;-0.0407;-0.9311;
258616855815294;1.0548;-0.0834;-0.9077;
258616860863055;1.0847;-0.0855;-0.8811;
258616865910815;1.1401;-0.0354;-0.8513;
258616870958575;1.1848;0.0019;-0.8193;
258616876006336;1.1837;-0.0205;-0.7969;
258616881110815;1.1422;-0.0748;-0.7799;
258616886158575;1.1038;-0.1164;-0.7598;
