Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
83889641289715;0.3228;0.0017;-0.0301;
83889651393049;0.3664;-0.0652;-0.0642;
83889661496382;0.6049;0.0944;-0.0152;
83889671623778;0.6166;0.1029;0.0328;
83889681727111;0.5921;-0.1004;0.0509;
83889691830445;0.6944;-0.1324;0.0923;
83889701918934;0.7061;0.1178;0.1210;
83889712022268;0.5804;0.2638;0.1146;
83889722125601;0.4973;0.0838;0.1455;
83889732239090;0.5367;-0.0121;0.2063;
83889742342424;0.5495;-0.0047;0.2222;
83889752445757;0.3771;-0.0377;0.2670;
83889762559611;0.2865;0.2222;0.2489;
83889772662945;0.3089;0.4001;0.2648;
83889782766278;0.3387;0.0838;0.2361;
83889792863986;0.2844;-0.2016;0.3064;
83889802969351;0.1523;-0.1899;0.3032;
83889813074715;0.2067;0.0795;0.2318;
83889823179663;-0.0064;0.0252;0.2553;
83889833285028;-0.0724;-0.1909;0.2446;
83889843390393;0.1630;-0.0802;0.2041;
83889853512997;0.1023;0.0869;0.1764;
83889863618361;0.0501;0.0795;0.1967;
83889873723726;0.1822;0.1754;0.1924;
83889883811695;0.2418;0.2180;0.1743;
83889893917059;0.2589;0.0848;0.1999;
83889904022424;0.2344;-0.0430;0.2233;
83889914139403;0.2067;0.0443;0.1935;
83889924244768;0.1704;0.1125;0.1722;
83889934350132;0.1822;0.0656;0.1881;
83889944459403;0.2727;0.0784;0.2201;
83889954564768;0.2354;-0.0377;0.1967;
83889964670132;0.1885;-0.1281;0.1881;
83889974789195;0.1811;0.0177;0.1967;
83889984894559;0.2418;0.1860;0.1796;
83889994999924;0.2706;0.0720;0.2126;
83890005101695;0.2407;-0.0546;0.2041;
83890015207059;0.2322;-0.0153;0.2531;
83890025312424;0.1747;0.0497;0.2308;
83890035408674;0.1704;-0.0940;0.2148;
83890045514038;0.2152;-0.0270;0.2201;
83890055619403;0.1981;0.1668;0.2563;
83890065713361;0.0820;0.0422;0.2446;
83890075818726;0.1640;-0.0398;0.2308;
83890085924090;0.2003;0.0891;0.2180;
83890096041747;0.1172;0.0507;0.2041;
83890106147111;0.0682;-0.0461;0.2680;
83890116252476;0.1513;0.0166;0.3554;
83890126376330;0.1790;0.0465;0.3362;
83890136481695;0.1278;0.2041;0.3043;
83890146587059;0.0618;0.1583;0.3383;
83890156680028;0.1055;0.0529;0.3501;
83890166785393;0.1481;0.0401;0.3138;
83890176890757;-0.0085;0.0092;0.2893;
83890187008205;-0.0810;-0.0025;0.2936;
83890197113622;-0.0447;0.1264;0.3096;
83890207218986;-0.0405;0.1104;0.2947;
83890217290549;-0.0682;0.0614;0.3149;
83890227395913;-0.1246;0.0593;0.3288;
83890237501330;-0.1811;0.0784;0.2872;
83890247641695;-0.2917;0.0103;0.2808;
83890257747059;-0.3290;0.0273;0.2052;
83890267852424;-0.3301;0.0933;0.1573;
83890277924195;-0.4068;0.0997;0.1881;
83890288029559;-0.4792;0.0039;0.2244;
83890298134924;-0.4121;0.0007;0.2254;
83890308250757;-0.5090;0.0507;0.2169;
83890318356122;-0.6624;0.0220;0.1594;
83890328461486;-0.7338;-0.0482;0.0626;
83890338601486;-0.7775;-0.1196;-0.0162;
83890348706851;-0.6763;-0.0993;-0.0482;
83890358812215;-0.6316;-0.0185;-0.0759;
83890368916382;-0.5751;0.0784;-0.1089;
83890379021747;-0.4750;0.0965;-0.1398;
83890389127111;-0.4142;0.0017;-0.1270;
83890399243882;-0.3482;-0.0557;-0.1398;
83890409349247;-0.3695;-0.0738;-0.1632;
83890419454611;-0.3855;-0.1153;-0.1718;
83890429530965;-0.3216;-0.2069;-0.1846;
83890439636330;-0.1939;-0.0100;-0.1899;
83890449741695;-0.1939;0.2212;-0.1771;
83890459834299;-0.1726;0.2467;-0.1782;
83890469939663;-0.1161;0.1636;-0.1984;
83890480045028;-0.0959;0.0646;-0.1622;
83890490169195;-0.1182;-0.1324;-0.1931;
83890500274559;-0.1353;-0.1877;-0.1995;
83890510379924;-0.1470;0.0273;-0.1718;
83890520481903;-0.0991;0.1903;-0.1899;
83890530587268;0.0117;0.0816;-0.1494;
83890540692632;0.0895;-0.1174;-0.1398;
83890550812111;0.0991;-0.2133;-0.1089;
83890560917476;0.0032;-0.1664;-0.0663;
83890571022840;-0.0096;-0.0377;-0.0013;
83890581122007;-0.1044;-0.0844;0.0210;
83890591227372;-0.1012;-0.0844;-0.0258;
83890601332736;-0.0607;0.1360;-0.0503;
83890611442736;-0.1129;0.3394;-0.0663;
83890621548101;-0.1225;0.2702;0.0232;
83890631653465;-0.1715;-0.1856;-0.0237;
83890641764403;-0.2491;-0.3720;-0.0791;
83890651869768;-0.2917;-0.1760;-0.0983;
83890661975132;-0.3578;0.0348;-0.1057;
83890672069299;-0.2555;0.0230;-0.0812;
83890682174663;-0.1662;0.1349;-0.1228;
83890692280028;-0.1790;0.0742;-0.1451;
83890702386903;-0.1619;-0.0441;-0.1324;
83890712492215;-0.1193;0.1668;-0.1015;
83890722597632;-0.1534;0.1072;-0.1622;
83890732706382;-0.1300;0.1115;-0.2005;
83890742811747;-0.1278;0.4012;-0.1643;
83890752917111;-0.0927;0.2148;-0.1579;
83890763023049;-0.1321;-0.1526;-0.1931;
83890773128413;-0.1438;-0.1579;-0.1473;
83890783233778;-0.1726;-0.1771;-0.1164;
83890793339195;-0.1598;-0.2399;-0.1228;
83890803444924;-0.1747;-0.1622;-0.1846;
83890813550653;-0.1246;-0.1015;-0.2027;
83890823673674;-0.0522;-0.0089;-0.1835;
83890833779455;0.0554;0.0273;-0.1569;
83890843885184;-0.0266;0.0731;-0.1142;
83890853964143;-0.0479;0.1370;-0.2261;
83890864069924;0.0724;-0.0196;-0.3156;
83890874175653;0.1960;-0.0780;-0.2602;
83890884285340;0.1726;0.0124;-0.1984;
83890894391018;0.1150;0.0752;-0.1835;
83890904496799;0.1278;0.0497;-0.2229;
83890914606174;0.2439;-0.0260;-0.2037;
83890924711903;0.2983;-0.1803;-0.1771;
83890934817632;0.3313;-0.1867;-0.0812;
83890944922424;0.3718;-0.1121;-0.0344;
83890955028153;0.3345;-0.1483;-0.0045;
83890965133882;0.3270;-0.0324;0.0157;
83890975244611;0.0937;0.2989;0.0115;
83890985350340;0.0469;0.2116;-0.0397;
83890995456070;0.3292;-0.0025;-0.0056;
83891005560340;0.5453;0.1040;0.0901;
83891015666070;0.3760;-0.0844;0.0754;
83891025771799;0.1587;-0.3997;0.0413;
83891035873049;0.1012;-0.0663;0.0615;
83891045978778;0.0341;0.0710;0.0445;
83891056084507;0.0501;-0.1494;0.0168;
